job_name,position,diploma,company_name,company_size,company_type,salary
算力网络算法研发工程师（平台方向）,北京,硕士,中国移动总部网络事业部,1000-9999人,国企,面议
数据分析师（北京）(J10210),北京,本科,360集团,100-299人,其它,面议
大客户经理/底薪8500-11000+提成3-30%+宿舍,北京,本科,丽兹行,1000-9999人,民营,1.1万-1.5万
运营数据分析师(J11003),北京,本科,联通数科,1000-9999人,国企,1万-2万
TOF助理,北京,硕士,国联证券,1000-9999人,股份制企业,面议
云计算开发工程师,北京,硕士,中国移动总部网络事业部,1000-9999人,国企,面议
采购数据分析员,北京,本科,华润医药,10000人以上,国企,8千-1万
豪宅顾问/底薪8500-11000+提成3-30%,北京,本科,丽兹行,1000-9999人,民营,1万-1.6万
市场策划（北京）,北京,学历不限,绝味食品,1000-9999人,上市公司,面议
大数据分析工程师,北京,硕士,中海油,10000人以上,国企,面议
网络质量分析师,北京,硕士,中国移动总部网络事业部,1000-9999人,国企,面议
