rank,title,detail_url,img_url,rating_num,comment_num,quote
97,超脱,https://movie.douban.com/subject/5322596/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,9.0,479969人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
98,狩猎,https://movie.douban.com/subject/6985810/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,9.1,337594人评价,人言可畏。
99,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,8.9,627268人评价,沉醉在电影的情感和视听氛围中无法自拔。
100,剪刀手爱德华,https://movie.douban.com/subject/1292370/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,8.7,953922人评价,浪漫忧郁的成人童话。
101,7号房的礼物,https://movie.douban.com/subject/10777687/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,8.9,490484人评价,《我是山姆》的《美丽人生》。
102,勇敢的心,https://movie.douban.com/subject/1294639/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,8.9,518374人评价,史诗大片的典范。
103,断背山,https://movie.douban.com/subject/1418834/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg,8.8,642145人评价,每个人心中都有一座断背山。
104,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,8.7,950530人评价,华太师是黄霑，吴镇宇四大才子之一。
105,天使爱美丽,https://movie.douban.com/subject/1292215/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,8.7,894146人评价,法式小清新。 
106,第六感,https://movie.douban.com/subject/1297630/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,8.9,493736人评价,深入内心的恐怖，出人意料的结局。
107,入殓师,https://movie.douban.com/subject/2149806/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg,8.9,581507人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
108,幽灵公主,https://movie.douban.com/subject/1297359/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,8.9,471847人评价,人与自然的战争史诗。
109,重庆森林,https://movie.douban.com/subject/1291999/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,8.8,711141人评价,寂寞没有期限。
