jobName,position,company_name,company_size,company_type,salary
数据分析,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析专员,上海,平安金服,1000-9999人 ,股份制企业 ,1万-1.5万
数据分析专员,上海,南京飞勒克工业设备有限公司,100-299人 ,外商独资 ,9千-1.5万
市场数据分析,上海-浦东,上海微盼智能科技有限公司,100-299人 ,合资 ,8千-1万
管培生（数据分析）,上海,上海天籍信息科技有限公司,20-99人 ,民营 ,8千-1.3万
数据分析（上海）,上海-虹口,中国移动通信有限公司在线营销服务中心,10000人以上 ,国企 ,面议
数据分析专员,上海-浦东,科锐国际,1000-9999人 ,合资 ,8千-9千
数据分析专员,上海-浦东,上汽通用汽车金融,500-999人 ,合资 ,8千-1.2万
市场数据分析,上海-长宁,上海微盼智能科技有限公司,100-299人 ,合资 ,8千-1万
供应链助理（数据分析）,上海-浦东,外企德科,1000-9999人 ,合资 ,8千-1.1万
数据分析,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
市场数据分析,上海-徐汇,上海微盼智能科技有限公司,100-299人 ,合资 ,8千-1万
销售数据分析主管,上海,科定(上海)商贸有限公司,500-999人 ,外商独资 ,3万-3.5万
数据分析管理师,上海-闵行,华硕电脑（上海）有限公司,1000-9999人 ,外商独资 ,6千-1万
（高级）数据分析员 BDO,上海-黄浦,万宝盛华企业管理咨询(上海)有限公司石家庄分公司,10000人以上 ,外商独资 ,8千-1万
销售数据分析,上海-松江,上海正泰电器国际贸易有限公司,10000人以上 ,民营 ,7千-1.3万
商业数据分析,上海-徐汇,博彦科技,10000人以上 ,上市公司 ,1.1万-1.6万
销售数据分析员,上海-静安,上海恩斯凯轴承有限公司,300-499人 ,民营 ,8千-1.2万
市场数据分析助理,上海-浦东,科锐国际,1000-9999人 ,合资 ,7千-1万
数据分析（ads团队）,上海-浦东,宜通华瑞,1000-9999人 ,民营 ,2.2万-2.7万
上海-数据分析,上海-浦东,深圳兴融联科技股份有限公司,100-299人 ,民营 ,1.4万-2万
内审-SAP数据分析,上海-浦东,ABB,10000人以上 ,外商独资 ,面议
数据分析专员,上海-浦东,万宝盛华企业管理咨询(上海)有限公司浦东分公司,1000-9999人 ,合资 ,7千-9千
数据分析实习生,上海-闵行,鹏欣资源,1000-9999人 ,上市公司 ,150-200/天
数据分析实习生,上海-嘉定,苏州准雀教育咨询有限公司,1000-9999人 ,民营 ,400-500/天
数据分析实习生,上海-闵行,上海紫燕食品股份有限公司,1000-9999人 ,股份制企业 ,4千-6千
数据分析工程师（医疗行业）,上海-徐汇,上海泛翔网络科技有限公司,500-999人 ,民营 ,8千-9千
数据分析-上海,上海-嘉定,美菜网,10000人以上 ,民营 ,9千-1.8万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析专员,上海,上海乔治白实业有限公司,100-299人 ,上市公司 ,7千-9千
Data Analysis数据分析专员,上海,上海沣海智能科技有限公司,100-299人 ,合资 ,8千-1万
数据分析实习生,上海-静安,亿翰股份,100-299人 ,上市公司 ,150-180/天
数据分析及财务系统支持岗,上海-虹口,上海成达高级人才顾问有限公司,20-99人 ,国企 ,1.8万-2.5万
数据分析（银行金融、高薪不内卷）,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,2万-4万
数据分析员,上海-虹口,初岛(上海)供应链科技有限公司,20-99人 ,合资 ,7千-1.4万
Data Analysis数据分析专员,上海-徐汇,上海沣海智能科技有限公司,100-299人 ,合资 ,8千-1万
董事长室管培生（数据分析方向）G000535,上海-长宁,CoCo都可,10000人以上 ,外商独资 ,1.2万-1.3万
数据分析工程师（三维）-2023秋招G00667,上海-浦东,上海数慧系统技术有限公司,500-999人 ,民营 ,7千-1万
产品数据分析专员,上海-长宁,上海大诚若谷信息科技有限公司,100-299人 ,民营 ,8千-9千
大数据分析工程师,上海,上海市新能源汽车公共数据采集与监测研究中心,20-99人 ,社会团体 ,1.3万-2.5万
数据分析经理（双休）,上海-浦东,杭州山创科技有限公司,20-99人 , ,1.8万-3.5万
数据分析（产品部）,上海-浦东,大瀚人力资源集团,1000-9999人 ,民营 ,1.6万-2.3万
IT咨询顾问-数据分析方向,上海,汉得信息,10000人以上 ,上市公司 ,6千-1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
项目工程师（数据分析）,上海-浦东,上海市质协用户评价中心,100-299人 ,国企 ,6千-1.2万
产品数据分析专员（外高桥）,上海-浦东,上海大诚若谷信息科技有限公司,100-299人 ,民营 ,7千-9千
行政储备助理/管理（数据分析方向）,上海,沛华运通国际物流(中国)有限公司,500-999人 ,外商独资 ,7千-1万
