job_name,position,diploma,company_name,company_size,company_type,salary
薪资福利专员/助理,上海,学历不限,格林豪泰酒店（中国）有限公司,10000人以上,外商独资,8千-1万
下游纯化工艺高级研究员/组长/助理主任,上海,博士,苏州药明检测检验有限责任公司,,,2万-3.5万
电商客服（可接受实习生）,上海,大专,上海来霆科技有限公司,20-99人,民营,4千-7千
微信商城运营,上海,本科,立邦投资有限公司,1000-9999人,外商独资,1千以下
助理研究员,上海,本科,上海卓专管理咨询有限公司,20人以下,股份制企业,6千-8千
投诉处理客服 - 进口品牌车,上海,大专,安联世合国际救援服务(北京)有限公司,500-999人,外商独资,1万-1.1万
亚马逊运营主管,上海,大专,精讯畅通,300-499人,股份制企业,2万-4万
ebay运营,上海,大专,上海熙尊信息技术有限公司,100-299人,民营,6千-8千
新媒体运营助理,上海,中专/中技,上海帮邦食品有限公司,20-99人,民营,5千-7千
产品策划,上海,本科,松下集团,1000-9999人,外商独资,7千-8千
社区运营,上海,学历不限,上海余工防水工程有限公司,,,8千-1.5万
BD商务拓展,上海,本科,上海食派士商贸发展有限公司,500-999人,合资,9千-1.2万
客服专员,上海,高中,韵达快递,10000人以上,上市公司,5千-6千
微淘运营/内容运营专员/助理,上海,大专,上海增乐科技有限公司,20-99人,,6千-8千
产品专员/经理,上海,硕士,上海吉泰依科赛生物科技有限公司,100-299人,民营,1万-1.6万
运营助理,上海,硕士,富国基金管理有限公司,500-999人,合资,8千-1万
电商运营助理,上海,学历不限,上海羿冠实业发展有限公司,100-299人,民营,5千-7千
电商运营助理（应届生）,上海,本科,上海富仕勒数码科技有限公司,20-99人,民营,8千-1.2万
抖音电商运营经理,上海,大专,上海睿岸贸易有限公司,100-299人,民营,1.5万-2.5万
销售助理,上海,大专,上海蝶创云科技有限公司,20-99人,民营,6千-7千
市场专员,上海,本科,北京钱袋宝支付技术有限公司上海分公司,10000人以上,上市公司,9千-1.2万
不限经验/销售实习生/7500底薪,上海,大专,深圳市乐有家控股集团有限公司,10000人以上,民营,7千-1.4万
销售顾问＋数据分析+资产管理专家,上海,本科,上海链家地产,10000人以上,民营,8千-1.4万
商品专员/助理,上海,大专,上海言逊商贸有限公司,20-99人,民营,6千-8千
财务实习生,上海,本科,一嗨租车,1000-9999人,上市公司,5千-7千
数据分析师+互联网运营+带薪培训+保障薪资8K,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
环境检测员,上海,大专,济南好前程信息咨询服务有限公司,100-299人,民营,6千-8千
项目人事专员,上海,大专,上海明酷营销服务有限公司,500-999人,民营,7千-8千
项目助理,上海,本科,南京酷畅信息科技有限公司,100-299人,民营,3千-5千
营销分析及CRM管理经理助理,上海,本科,富国基金管理有限公司,500-999人,合资,8千-1万
链家地产门店负责人,上海,本科,上海链家地产,10000人以上,民营,9千-1.8万
阿里巴巴国际站运营,上海,大专,上海垣凡新材料科技有限公司,20-99人,民营,6千-1.2万
客服专员,上海,大专,上海浦东发展银行信用卡中心,1000-9999人,股份制企业,8千-1.6万
比邻商务区，人气足+不动产综合销售，数据分析+五险一金,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
运营助理7千+住宿,上海,大专,上海隆康物业管理有限公司,,其它,6千-7千
网络运营助理/新媒体运营助理,上海,大专,上海富君汽车租赁有限公司,20-99人,合资,7千-8千
总经理助理,上海,本科,上海寰客贸易有限公司,300-499人,民营,8千-1万
